Constellation: 18 planes × 18 sats = 324 agents
Training for 600 more episodes × 100 slots
Ep  460/600 | Reward     0.00 | Avg(10)     0.00 | PLoss -0.0002 | VLoss 0.0001 | Ent 1.2583 | 38.4s
Ep  470/600 | Reward     0.00 | Avg(10)     0.00 | PLoss -0.0002 | VLoss 0.0000 | Ent 1.2598 | 38.4s
Ep  480/600 | Reward     0.00 | Avg(10)     0.00 | PLoss 0.0003 | VLoss 0.0000 | Ent 1.2148 | 39.2s
Ep  490/600 | Reward     0.00 | Avg(10)     0.00 | PLoss -0.0019 | VLoss 0.0001 | Ent 1.2417 | 38.9s
Ep  500/600 | Reward     0.00 | Avg(10)     0.00 | PLoss -0.0007 | VLoss 0.0000 | Ent 1.2833 | 37.5s
Ep  510/600 | Reward     0.00 | Avg(10)     0.01 | PLoss -0.0005 | VLoss 0.0003 | Ent 1.2665 | 39.7s
Ep  520/600 | Reward     0.00 | Avg(10)     0.00 | PLoss -0.0005 | VLoss 0.0005 | Ent 1.2954 | 39.2s
Ep  530/600 | Reward     0.00 | Avg(10)     0.00 | PLoss -0.0001 | VLoss 0.0000 | Ent 1.2930 | 40.0s
Ep  540/600 | Reward     0.00 | Avg(10)     0.00 | PLoss -0.0003 | VLoss 0.0000 | Ent 1.2659 | 39.6s
Ep  550/600 | Reward     0.00 | Avg(10)     0.00 | PLoss -0.0010 | VLoss 0.0000 | Ent 1.2927 | 38.3s
Ep  560/600 | Reward     0.00 | Avg(10)     0.00 | PLoss -0.0006 | VLoss 0.0000 | Ent 1.2816 | 40.1s
Ep  570/600 | Reward     0.00 | Avg(10)     0.00 | PLoss -0.0002 | VLoss 0.0000 | Ent 1.2846 | 35.1s
Ep  580/600 | Reward     0.00 | Avg(10)     0.00 | PLoss 0.0000 | VLoss 0.0000 | Ent 1.2890 | 35.5s
Ep  590/600 | Reward     0.00 | Avg(10)     0.00 | PLoss -0.0001 | VLoss 0.0000 | Ent 1.2717 | 35.5s
Ep  600/600 | Reward     0.00 | Avg(10)     0.00 | PLoss -0.0007 | VLoss 0.0000 | Ent 1.2809 | 34.6s

Training complete. Best reward: 0.05
Rewards saved to logs/train_rewards.npy
Checkpoint saved to checkpoints/best_transformer.pt
former.pt
