Scheme,Jitter_ms,Jitter_std,Switch_Rate,Switch_std
Proposed,34.375,5.156,13.56967,2.03545
MADRL,26.846,4.027,9.5565,1.43347
GRLR,29.916,4.487,12.34183,1.85128
STSD,15.918,2.388,1.03583,0.15538
DLBH,15.887,2.383,1.422,0.2133
