Scheme,Throughput_Mbps
Proposed,579.36
Proposed,555.84
Proposed,542.76
Proposed,529.68
Proposed,573.24
Proposed,552.24
Proposed,585.72
Proposed,569.4
Proposed,605.76
Proposed,574.92
Proposed,580.56
Proposed,518.4
Proposed,532.32
Proposed,618.0
Proposed,566.4
Proposed,529.92
Proposed,571.92
Proposed,624.36
Proposed,616.68
Proposed,621.84
Proposed,616.32
Proposed,594.84
Proposed,631.8
Proposed,615.48
Proposed,588.48
Proposed,584.88
Proposed,570.12
Proposed,562.44
Proposed,582.12
Proposed,591.96
Proposed,568.8
Proposed,548.88
Proposed,567.84
Proposed,596.16
Proposed,564.12
Proposed,561.72
Proposed,523.08
Proposed,564.84
Proposed,577.8
Proposed,611.52
Proposed,568.92
Proposed,583.44
Proposed,571.68
Proposed,618.6
Proposed,541.8
Proposed,536.28
Proposed,578.64
Proposed,623.04
Proposed,580.56
Proposed,562.56
Proposed,554.88
Proposed,573.24
Proposed,598.56
Proposed,570.36
Proposed,564.84
Proposed,525.6
Proposed,618.12
Proposed,587.76
Proposed,576.72
Proposed,571.2
Proposed,581.52
Proposed,592.08
Proposed,587.88
Proposed,579.96
Proposed,523.56
Proposed,611.88
Proposed,564.6
Proposed,578.4
Proposed,549.36
Proposed,629.52
Proposed,548.64
Proposed,614.88
Proposed,554.52
Proposed,566.16
Proposed,611.52
Proposed,569.64
Proposed,575.52
Proposed,596.76
Proposed,564.36
Proposed,538.44
Proposed,532.8
Proposed,563.4
Proposed,579.6
Proposed,594.36
Proposed,588.96
Proposed,588.24
Proposed,552.0
Proposed,585.72
Proposed,573.72
Proposed,540.0
Proposed,584.76
Proposed,592.44
Proposed,627.36
Proposed,538.56
Proposed,585.6
Proposed,530.88
Proposed,552.36
Proposed,547.32
Proposed,567.12
Proposed,576.6
Proposed,568.32
Proposed,555.0
Proposed,578.16
Proposed,558.36
Proposed,532.32
Proposed,589.8
Proposed,588.12
Proposed,595.32
Proposed,562.92
Proposed,609.36
Proposed,602.52
Proposed,573.36
Proposed,561.24
Proposed,615.0
Proposed,593.4
Proposed,573.96
Proposed,560.04
Proposed,540.96
Proposed,562.68
Proposed,556.44
Proposed,562.44
Proposed,595.56
Proposed,588.84
Proposed,546.36
Proposed,620.76
Proposed,613.2
Proposed,561.12
Proposed,525.48
Proposed,657.84
Proposed,528.24
Proposed,607.32
Proposed,545.4
Proposed,576.24
Proposed,601.8
Proposed,601.68
Proposed,564.48
Proposed,584.76
Proposed,504.36
Proposed,597.48
Proposed,556.08
Proposed,584.04
Proposed,556.8
Proposed,581.88
Proposed,566.4
Proposed,583.32
Proposed,598.2
Proposed,650.28
Proposed,549.96
Proposed,537.96
Proposed,537.6
Proposed,532.32
Proposed,461.64
Proposed,540.72
Proposed,537.6
Proposed,531.84
Proposed,515.04
Proposed,524.04
Proposed,515.76
Proposed,461.52
Proposed,518.76
Proposed,479.4
Proposed,529.32
Proposed,541.92
Proposed,489.12
Proposed,501.48
Proposed,498.96
Proposed,577.44
Proposed,521.04
Proposed,523.56
Proposed,560.76
Proposed,495.6
Proposed,507.6
Proposed,503.04
Proposed,558.96
Proposed,525.12
Proposed,546.6
Proposed,484.32
Proposed,558.84
Proposed,542.4
Proposed,540.0
Proposed,552.84
Proposed,527.52
Proposed,515.64
Proposed,500.16
Proposed,513.48
Proposed,535.56
Proposed,506.04
Proposed,510.96
Proposed,557.76
Proposed,529.92
Proposed,501.12
Proposed,548.52
Proposed,529.68
Proposed,521.88
Proposed,543.36
Proposed,536.28
Proposed,490.08
Proposed,522.12
Proposed,501.24
Proposed,487.92
Proposed,543.0
Proposed,540.6
Proposed,510.72
Proposed,521.52
Proposed,535.8
Proposed,547.44
Proposed,513.96
Proposed,545.16
Proposed,486.24
Proposed,522.96
Proposed,546.48
Proposed,492.0
Proposed,524.04
Proposed,524.88
Proposed,536.76
Proposed,547.56
Proposed,543.36
Proposed,496.68
Proposed,536.52
Proposed,546.48
Proposed,564.6
Proposed,516.36
Proposed,584.88
Proposed,534.36
Proposed,538.68
Proposed,550.68
Proposed,529.32
Proposed,498.24
Proposed,532.08
Proposed,551.04
Proposed,544.56
Proposed,524.52
Proposed,511.32
Proposed,503.4
Proposed,530.28
Proposed,599.4
Proposed,541.68
Proposed,536.28
Proposed,480.84
Proposed,504.96
Proposed,550.8
Proposed,535.44
Proposed,571.44
Proposed,520.2
Proposed,499.08
Proposed,569.4
Proposed,552.96
Proposed,613.08
Proposed,657.96
Proposed,598.56
Proposed,579.36
Proposed,578.52
Proposed,579.24
Proposed,545.16
Proposed,597.24
Proposed,552.84
Proposed,608.64
Proposed,599.16
Proposed,551.76
Proposed,569.88
Proposed,544.08
Proposed,562.44
Proposed,587.88
Proposed,573.96
Proposed,583.08
Proposed,590.88
Proposed,596.64
Proposed,610.8
Proposed,509.76
Proposed,540.24
Proposed,581.52
Proposed,610.92
Proposed,577.92
Proposed,548.04
Proposed,568.8
Proposed,614.16
Proposed,609.6
Proposed,577.32
Proposed,590.28
Proposed,575.88
Proposed,622.68
Proposed,615.96
Proposed,580.68
Proposed,564.6
Proposed,560.16
Proposed,619.56
Proposed,595.92
Proposed,600.12
Proposed,528.96
Proposed,599.04
Proposed,589.44
Proposed,587.04
Proposed,601.8
Proposed,560.28
Proposed,634.56
Proposed,614.04
Proposed,573.12
Proposed,570.36
Proposed,550.44
Proposed,568.08
Proposed,625.92
Proposed,582.36
Proposed,561.0
Proposed,538.32
Proposed,537.0
Proposed,612.12
Proposed,513.72
Proposed,607.32
Proposed,546.12
Proposed,563.88
Proposed,611.64
Proposed,581.28
Proposed,533.64
Proposed,587.16
Proposed,623.4
Proposed,570.12
Proposed,573.12
Proposed,545.28
Proposed,602.16
Proposed,608.64
Proposed,554.28
Proposed,592.32
Proposed,591.36
Proposed,654.12
Proposed,575.52
Proposed,579.36
Proposed,543.84
Proposed,578.16
Proposed,655.44
Proposed,586.08
Proposed,574.92
Proposed,576.24
Proposed,583.44
Proposed,612.36
Proposed,585.12
Proposed,525.84
Proposed,595.56
Proposed,633.48
Proposed,595.8
Proposed,556.68
Proposed,552.12
Proposed,568.2
Proposed,645.12
Proposed,649.2
Proposed,542.64
Proposed,569.28
Proposed,564.36
Proposed,563.16
Proposed,592.08
Proposed,555.48
Proposed,533.52
Proposed,544.2
Proposed,554.76
Proposed,564.84
Proposed,547.68
Proposed,542.52
Proposed,594.84
Proposed,570.0
Proposed,563.04
Proposed,576.12
Proposed,569.88
Proposed,602.04
Proposed,561.6
Proposed,545.28
Proposed,539.88
Proposed,562.2
Proposed,574.8
Proposed,546.6
Proposed,546.36
Proposed,522.96
Proposed,581.04
Proposed,564.84
Proposed,556.44
Proposed,553.56
Proposed,588.36
Proposed,554.4
Proposed,551.52
Proposed,504.6
Proposed,574.44
Proposed,550.92
Proposed,580.44
Proposed,604.32
Proposed,571.08
Proposed,554.16
Proposed,610.44
Proposed,521.4
Proposed,556.8
Proposed,576.36
Proposed,527.28
Proposed,603.0
Proposed,567.0
Proposed,544.8
Proposed,562.08
Proposed,534.12
Proposed,571.44
Proposed,566.88
Proposed,555.84
Proposed,546.36
Proposed,526.44
Proposed,555.96
Proposed,549.6
Proposed,549.96
Proposed,485.76
Proposed,541.92
Proposed,579.96
Proposed,572.88
Proposed,563.76
Proposed,620.76
Proposed,531.6
Proposed,576.96
Proposed,562.32
Proposed,543.72
Proposed,573.6
Proposed,580.8
Proposed,572.4
Proposed,589.2
Proposed,544.92
Proposed,588.12
Proposed,572.04
Proposed,556.8
Proposed,607.8
Proposed,543.24
Proposed,550.44
Proposed,576.84
Proposed,504.84
Proposed,490.2
Proposed,572.88
Proposed,539.28
Proposed,573.12
Proposed,568.08
Proposed,571.92
Proposed,529.68
Proposed,560.16
Proposed,576.24
Proposed,560.52
Proposed,518.16
Proposed,554.88
Proposed,567.24
Proposed,578.88
Proposed,495.24
Proposed,526.68
Proposed,545.28
Proposed,581.64
Proposed,565.68
Proposed,529.32
Proposed,536.64
Proposed,556.56
Proposed,534.72
Proposed,592.2
Proposed,543.36
Proposed,554.4
Proposed,546.96
Proposed,561.84
Proposed,525.12
Proposed,509.76
Proposed,567.0
Proposed,556.92
Proposed,520.56
Proposed,556.32
Proposed,578.28
Proposed,513.84
Proposed,523.68
Proposed,585.84
Proposed,552.72
Proposed,500.52
Proposed,458.88
Proposed,546.96
Proposed,581.76
Proposed,542.16
Proposed,520.32
Proposed,552.96
Proposed,527.04
Proposed,515.16
Proposed,575.64
Proposed,511.56
Proposed,508.08
Proposed,568.56
Proposed,538.56
Proposed,562.8
Proposed,562.2
Proposed,534.24
Proposed,516.36
Proposed,577.08
Proposed,572.4
Proposed,520.44
Proposed,592.44
Proposed,570.48
Proposed,521.16
Proposed,530.88
Proposed,529.8
Proposed,525.12
Proposed,546.36
Proposed,540.12
Proposed,544.68
Proposed,585.96
Proposed,544.68
Proposed,537.6
Proposed,536.64
Proposed,552.48
Proposed,545.52
Proposed,557.64
Proposed,522.6
Proposed,556.32
Proposed,565.08
Proposed,570.0
Proposed,519.72
Proposed,563.28
Proposed,545.04
Proposed,580.08
Proposed,525.84
Proposed,540.12
Proposed,580.44
Proposed,564.24
Proposed,533.52
Proposed,579.48
Proposed,550.92
Proposed,488.04
Proposed,537.96
Proposed,551.76
Proposed,482.64
Proposed,537.12
