Scheme,Throughput_Mbps
Proposed,243.96
Proposed,255.6
Proposed,276.6
Proposed,283.68
Proposed,278.16
Proposed,261.36
Proposed,266.04
Proposed,325.08
Proposed,305.4
Proposed,281.28
Proposed,284.4
Proposed,295.56
Proposed,297.48
Proposed,259.2
Proposed,286.08
Proposed,266.52
Proposed,286.56
Proposed,291.84
Proposed,246.84
Proposed,292.44
Proposed,295.68
Proposed,258.36
Proposed,291.6
Proposed,313.08
Proposed,277.56
Proposed,298.32
Proposed,260.52
Proposed,320.64
Proposed,262.92
Proposed,261.84
Proposed,273.6
Proposed,287.28
Proposed,280.68
Proposed,278.52
Proposed,270.84
Proposed,274.2
Proposed,282.6
Proposed,287.64
Proposed,317.4
Proposed,306.72
Proposed,287.16
Proposed,271.56
Proposed,278.28
Proposed,258.0
Proposed,295.44
Proposed,258.12
Proposed,289.2
Proposed,294.36
Proposed,328.44
Proposed,317.28
Proposed,340.08
Proposed,309.0
Proposed,330.6
Proposed,321.0
Proposed,316.92
Proposed,323.04
Proposed,328.56
Proposed,319.8
Proposed,356.28
Proposed,330.72
Proposed,329.16
Proposed,350.88
Proposed,340.32
Proposed,346.32
Proposed,335.52
Proposed,328.08
Proposed,337.68
Proposed,314.64
Proposed,311.64
Proposed,338.28
Proposed,324.36
Proposed,310.68
Proposed,306.6
Proposed,345.0
Proposed,293.52
Proposed,322.56
Proposed,328.8
Proposed,287.76
Proposed,336.0
Proposed,314.76
Proposed,296.76
Proposed,336.6
Proposed,278.76
Proposed,327.84
Proposed,313.32
Proposed,347.28
Proposed,332.04
Proposed,331.8
Proposed,310.56
Proposed,327.0
Proposed,322.44
Proposed,332.64
Proposed,278.64
Proposed,332.64
Proposed,318.24
Proposed,307.08
Proposed,329.4
Proposed,330.48
Proposed,353.76
Proposed,319.32
Proposed,321.72
Proposed,314.88
Proposed,292.92
Proposed,318.6
Proposed,331.56
Proposed,309.0
Proposed,318.12
Proposed,308.76
Proposed,294.12
Proposed,331.56
Proposed,317.88
Proposed,322.2
Proposed,344.16
Proposed,318.36
Proposed,324.48
Proposed,302.04
Proposed,325.92
Proposed,326.16
Proposed,314.4
Proposed,311.04
Proposed,337.92
Proposed,306.84
Proposed,357.84
Proposed,350.4
Proposed,317.28
Proposed,342.12
Proposed,296.52
Proposed,332.88
Proposed,300.48
Proposed,309.36
Proposed,329.16
Proposed,325.08
Proposed,336.12
Proposed,324.48
Proposed,312.36
Proposed,323.76
Proposed,333.0
Proposed,326.64
Proposed,308.64
Proposed,336.36
Proposed,338.88
Proposed,335.52
Proposed,353.88
Proposed,315.48
Proposed,291.96
Proposed,312.72
Proposed,297.36
Proposed,303.0
Proposed,282.84
Proposed,322.8
Proposed,309.96
Proposed,356.52
Proposed,313.44
Proposed,303.96
Proposed,326.76
Proposed,328.32
Proposed,330.48
Proposed,332.76
Proposed,328.32
Proposed,300.96
Proposed,335.28
Proposed,304.56
Proposed,314.16
Proposed,263.28
Proposed,344.04
Proposed,342.84
Proposed,345.96
Proposed,344.04
Proposed,326.16
Proposed,320.64
Proposed,327.24
Proposed,312.96
Proposed,306.6
Proposed,313.92
Proposed,293.16
Proposed,339.24
Proposed,330.48
Proposed,289.8
Proposed,321.48
Proposed,324.84
Proposed,332.76
Proposed,326.88
Proposed,293.64
Proposed,338.64
Proposed,318.6
Proposed,328.44
Proposed,315.0
Proposed,313.68
Proposed,329.16
Proposed,332.4
Proposed,324.0
Proposed,317.64
Proposed,336.96
Proposed,297.24
Proposed,309.6
Proposed,298.56
Proposed,309.36
Proposed,328.2
Proposed,339.6
Proposed,296.4
Proposed,311.52
Proposed,337.2
Proposed,313.2
Proposed,312.36
Proposed,285.96
Proposed,328.68
Proposed,321.0
Proposed,306.48
Proposed,330.84
Proposed,322.68
Proposed,331.32
Proposed,313.2
Proposed,325.92
Proposed,344.52
Proposed,342.12
Proposed,334.32
Proposed,320.04
Proposed,334.56
Proposed,334.56
Proposed,302.04
Proposed,331.32
Proposed,342.36
Proposed,343.68
Proposed,314.28
Proposed,333.24
Proposed,353.4
Proposed,322.44
Proposed,326.52
Proposed,301.8
Proposed,336.12
Proposed,320.52
Proposed,315.48
Proposed,290.16
Proposed,335.88
Proposed,309.12
Proposed,334.92
Proposed,303.6
Proposed,358.44
Proposed,354.96
Proposed,307.68
Proposed,325.68
Proposed,333.48
Proposed,306.12
Proposed,334.92
Proposed,335.52
Proposed,298.44
Proposed,334.68
Proposed,257.52
Proposed,309.24
Proposed,322.08
Proposed,323.16
Proposed,290.4
Proposed,313.8
Proposed,314.16
Proposed,271.2
Proposed,288.36
Proposed,314.28
Proposed,297.12
Proposed,303.36
Proposed,292.32
Proposed,332.76
Proposed,310.68
Proposed,320.04
Proposed,318.12
Proposed,321.72
Proposed,334.56
Proposed,305.4
Proposed,300.72
Proposed,311.4
Proposed,305.88
Proposed,279.6
Proposed,336.84
Proposed,308.4
Proposed,281.76
Proposed,326.04
Proposed,321.36
Proposed,312.12
Proposed,311.28
Proposed,279.6
Proposed,310.8
Proposed,309.72
Proposed,302.28
Proposed,309.48
Proposed,290.76
Proposed,305.28
Proposed,308.64
Proposed,278.4
Proposed,294.96
Proposed,316.2
Proposed,320.64
Proposed,309.36
Proposed,324.24
Proposed,309.36
Proposed,321.0
Proposed,309.24
Proposed,301.32
Proposed,310.44
Proposed,278.4
Proposed,329.28
Proposed,329.28
Proposed,313.68
Proposed,297.12
Proposed,315.36
Proposed,318.48
Proposed,301.92
Proposed,289.44
Proposed,295.92
Proposed,315.6
Proposed,289.08
Proposed,269.4
Proposed,333.84
Proposed,323.76
Proposed,283.2
Proposed,335.4
Proposed,310.8
Proposed,273.48
Proposed,324.48
Proposed,286.8
Proposed,302.52
Proposed,308.04
Proposed,326.04
Proposed,290.04
Proposed,304.68
Proposed,326.64
Proposed,302.04
Proposed,303.6
Proposed,336.72
Proposed,317.16
Proposed,291.24
Proposed,302.64
Proposed,280.08
Proposed,301.44
Proposed,318.36
Proposed,328.56
Proposed,284.28
Proposed,311.4
Proposed,274.32
Proposed,288.96
Proposed,288.6
Proposed,281.28
Proposed,326.16
Proposed,330.96
Proposed,311.04
Proposed,308.88
Proposed,310.44
Proposed,333.96
Proposed,297.96
Proposed,329.52
Proposed,302.28
Proposed,341.28
Proposed,317.4
Proposed,320.04
Proposed,327.48
Proposed,314.28
Proposed,308.4
Proposed,324.84
Proposed,315.0
Proposed,302.04
Proposed,345.6
Proposed,353.28
Proposed,326.16
Proposed,291.36
Proposed,332.4
Proposed,329.76
Proposed,338.52
Proposed,328.56
Proposed,282.24
Proposed,340.44
Proposed,336.24
Proposed,324.24
Proposed,331.32
Proposed,326.76
Proposed,334.32
Proposed,298.8
Proposed,332.28
Proposed,339.84
Proposed,323.64
Proposed,313.2
Proposed,354.6
Proposed,336.12
Proposed,321.72
Proposed,345.48
Proposed,325.32
Proposed,322.8
Proposed,322.32
Proposed,314.76
Proposed,302.28
Proposed,326.88
Proposed,340.92
Proposed,348.24
Proposed,324.36
Proposed,303.0
Proposed,344.28
Proposed,329.28
Proposed,322.56
Proposed,339.24
Proposed,293.28
Proposed,313.2
Proposed,336.96
Proposed,330.24
Proposed,331.92
Proposed,354.72
Proposed,323.04
Proposed,332.76
Proposed,329.4
Proposed,318.96
Proposed,336.48
Proposed,316.56
Proposed,324.96
Proposed,299.88
Proposed,345.12
Proposed,356.76
Proposed,324.12
Proposed,311.28
Proposed,303.84
Proposed,334.56
Proposed,346.44
Proposed,344.16
Proposed,312.84
Proposed,325.44
Proposed,314.52
Proposed,343.68
Proposed,332.52
Proposed,309.72
Proposed,294.6
Proposed,304.92
Proposed,347.88
Proposed,297.24
Proposed,321.96
Proposed,319.92
Proposed,332.28
Proposed,326.16
Proposed,328.68
Proposed,303.0
Proposed,307.56
Proposed,335.04
Proposed,307.32
Proposed,327.6
Proposed,324.36
Proposed,310.08
Proposed,333.72
Proposed,304.68
Proposed,328.08
Proposed,334.56
Proposed,348.6
Proposed,336.36
Proposed,333.48
Proposed,281.04
Proposed,293.52
Proposed,264.72
Proposed,277.68
Proposed,240.48
Proposed,275.04
Proposed,282.72
Proposed,255.36
Proposed,287.88
Proposed,247.8
Proposed,285.36
Proposed,244.08
Proposed,235.2
Proposed,254.76
Proposed,272.52
Proposed,266.16
Proposed,251.64
Proposed,261.48
Proposed,281.28
Proposed,286.32
Proposed,271.56
Proposed,276.12
Proposed,226.8
Proposed,249.84
Proposed,264.24
Proposed,230.28
Proposed,271.44
Proposed,287.16
Proposed,262.08
Proposed,260.88
Proposed,266.16
Proposed,265.32
Proposed,281.52
Proposed,295.08
Proposed,266.88
Proposed,271.2
Proposed,277.44
Proposed,298.92
Proposed,251.04
Proposed,289.2
Proposed,250.56
Proposed,270.48
Proposed,303.24
Proposed,278.64
Proposed,279.84
Proposed,231.6
Proposed,298.2
Proposed,254.88
Proposed,261.36
Proposed,287.28
Proposed,266.04
Proposed,287.16
Proposed,255.36
Proposed,299.64
Proposed,261.6
Proposed,246.96
Proposed,258.48
Proposed,258.36
Proposed,273.36
Proposed,266.88
Proposed,276.12
Proposed,268.8
Proposed,298.56
Proposed,283.44
Proposed,296.64
Proposed,271.44
Proposed,281.64
Proposed,273.84
Proposed,252.6
Proposed,271.92
Proposed,286.68
Proposed,262.92
Proposed,270.96
Proposed,285.48
Proposed,249.48
Proposed,237.36
Proposed,259.08
Proposed,248.04
Proposed,295.08
Proposed,270.96
Proposed,254.64
Proposed,290.52
Proposed,252.72
Proposed,267.24
Proposed,253.8
Proposed,278.4
Proposed,252.0
Proposed,301.92
Proposed,274.56
Proposed,289.32
Proposed,277.2
Proposed,289.68
Proposed,287.52
Proposed,285.48
Proposed,285.6
Proposed,278.64
Proposed,282.36
Proposed,244.68
Proposed,244.32
Proposed,276.0
Proposed,267.12
Proposed,291.84
Proposed,281.76
Proposed,316.08
Proposed,328.68
Proposed,289.32
Proposed,325.68
Proposed,320.52
Proposed,321.24
Proposed,311.52
Proposed,338.76
Proposed,333.96
Proposed,321.72
Proposed,331.08
Proposed,309.48
Proposed,303.0
Proposed,310.2
Proposed,304.92
Proposed,316.8
Proposed,314.04
Proposed,317.4
Proposed,291.24
Proposed,293.64
Proposed,312.12
Proposed,297.72
Proposed,347.04
Proposed,321.48
Proposed,270.96
Proposed,331.32
Proposed,297.96
Proposed,311.52
Proposed,313.56
Proposed,335.16
Proposed,324.0
Proposed,345.96
Proposed,298.08
Proposed,305.16
Proposed,318.96
Proposed,302.4
Proposed,278.76
Proposed,326.64
Proposed,306.0
Proposed,319.92
Proposed,306.6
Proposed,325.8
Proposed,318.6
Proposed,307.8
Proposed,316.68
Proposed,306.84
Proposed,327.12
Proposed,314.16
Proposed,308.52
Proposed,304.32
Proposed,300.36
Proposed,311.52
Proposed,323.52
Proposed,314.4
Proposed,310.44
Proposed,338.52
Proposed,309.84
Proposed,337.8
Proposed,330.12
Proposed,303.96
Proposed,316.56
Proposed,325.32
Proposed,311.16
Proposed,313.92
Proposed,293.28
Proposed,322.32
Proposed,320.16
Proposed,287.52
Proposed,335.64
Proposed,326.64
Proposed,282.12
Proposed,337.32
Proposed,314.28
Proposed,303.72
Proposed,306.84
Proposed,340.08
Proposed,326.16
Proposed,345.6
Proposed,332.16
Proposed,306.24
Proposed,322.2
Proposed,311.28
Proposed,338.4
Proposed,291.0
Proposed,313.68
Proposed,312.36
Proposed,288.24
Proposed,317.52
Proposed,315.48
Proposed,308.16
Proposed,322.44
Proposed,307.08
Proposed,315.96
Proposed,324.0
Proposed,305.04
Proposed,300.12
Proposed,348.12
MADRL,171.12
MADRL,249.0
MADRL,246.6
MADRL,248.16
MADRL,226.68
MADRL,203.16
MADRL,255.24
MADRL,265.32
MADRL,248.76
MADRL,260.88
MADRL,257.52
MADRL,277.92
MADRL,241.08
MADRL,227.88
MADRL,224.4
MADRL,230.04
MADRL,262.92
MADRL,219.84
MADRL,241.44
MADRL,226.56
MADRL,256.44
MADRL,204.0
MADRL,222.36
MADRL,222.12
MADRL,227.52
MADRL,217.32
MADRL,226.92
MADRL,266.04
MADRL,248.16
MADRL,229.92
MADRL,213.48
MADRL,254.04
MADRL,254.52
MADRL,255.24
MADRL,242.28
MADRL,224.88
MADRL,230.4
MADRL,229.2
MADRL,237.84
MADRL,243.84
MADRL,240.48
MADRL,275.04
MADRL,256.08
MADRL,259.08
MADRL,245.4
MADRL,243.6
MADRL,252.72
MADRL,253.2
MADRL,269.04
MADRL,207.96
MADRL,263.52
MADRL,229.92
MADRL,259.56
MADRL,239.52
MADRL,259.32
MADRL,259.32
MADRL,246.12
MADRL,268.44
MADRL,227.28
MADRL,213.24
MADRL,226.08
MADRL,239.88
MADRL,237.0
MADRL,216.84
MADRL,257.76
MADRL,246.72
MADRL,243.72
MADRL,251.16
MADRL,260.88
MADRL,229.92
MADRL,249.72
MADRL,189.84
MADRL,256.8
MADRL,233.88
MADRL,234.48
MADRL,237.12
MADRL,238.32
MADRL,237.12
MADRL,257.4
MADRL,244.68
MADRL,236.16
MADRL,253.32
MADRL,252.12
MADRL,251.4
MADRL,247.32
MADRL,240.12
MADRL,205.08
MADRL,235.56
MADRL,236.28
MADRL,256.44
MADRL,255.96
MADRL,232.32
MADRL,257.76
MADRL,281.52
MADRL,218.76
MADRL,235.56
MADRL,253.92
MADRL,235.56
MADRL,217.8
MADRL,228.36
MADRL,225.48
MADRL,224.64
MADRL,227.88
MADRL,242.76
MADRL,242.88
MADRL,275.88
MADRL,249.0
MADRL,232.8
MADRL,253.2
MADRL,262.32
MADRL,257.28
MADRL,241.68
MADRL,245.4
MADRL,268.44
MADRL,255.36
MADRL,232.92
MADRL,246.84
MADRL,251.4
MADRL,236.04
MADRL,262.08
MADRL,248.4
MADRL,236.64
MADRL,258.96
MADRL,240.48
MADRL,207.84
MADRL,276.96
MADRL,226.56
