Scheme,Throughput_Mbps
Proposed,307.68
Proposed,292.2
Proposed,309.0
Proposed,315.84
Proposed,317.64
Proposed,303.72
Proposed,315.0
Proposed,288.48
Proposed,281.64
Proposed,310.2
Proposed,290.52
Proposed,288.24
Proposed,308.76
Proposed,305.52
Proposed,266.4
Proposed,321.36
Proposed,295.08
Proposed,321.0
Proposed,316.32
Proposed,284.52
Proposed,301.92
Proposed,310.08
Proposed,272.64
Proposed,318.72
Proposed,311.76
Proposed,306.24
Proposed,302.16
Proposed,320.64
Proposed,302.28
Proposed,306.24
Proposed,288.84
Proposed,295.92
Proposed,320.04
Proposed,270.48
Proposed,317.88
Proposed,283.56
Proposed,312.72
Proposed,339.72
Proposed,282.6
Proposed,316.8
Proposed,267.12
Proposed,307.32
Proposed,291.0
Proposed,267.6
Proposed,318.0
Proposed,292.2
Proposed,272.76
Proposed,272.4
Proposed,311.04
Proposed,265.44
Proposed,312.72
Proposed,287.4
Proposed,317.52
Proposed,302.52
Proposed,309.96
Proposed,296.52
Proposed,279.12
Proposed,319.56
Proposed,337.8
Proposed,307.08
Proposed,296.76
Proposed,296.88
Proposed,299.04
Proposed,303.24
Proposed,311.76
Proposed,325.32
Proposed,303.96
Proposed,304.32
Proposed,300.24
Proposed,307.56
Proposed,311.4
Proposed,301.2
Proposed,318.48
Proposed,318.72
Proposed,293.16
Proposed,306.36
Proposed,317.88
Proposed,287.76
Proposed,288.24
Proposed,272.28
Proposed,337.44
Proposed,320.76
Proposed,273.36
Proposed,272.4
Proposed,303.12
Proposed,339.48
Proposed,277.56
Proposed,293.76
Proposed,279.12
Proposed,316.56
Proposed,276.48
Proposed,306.84
Proposed,312.24
Proposed,311.88
Proposed,291.6
Proposed,298.2
Proposed,279.96
Proposed,310.68
Proposed,286.44
Proposed,295.08
Proposed,303.6
Proposed,301.56
Proposed,279.6
Proposed,260.64
Proposed,299.88
Proposed,317.76
Proposed,288.6
Proposed,309.0
Proposed,315.72
Proposed,321.84
Proposed,269.64
Proposed,292.32
Proposed,306.84
Proposed,297.24
Proposed,291.6
Proposed,298.44
Proposed,284.52
Proposed,318.84
Proposed,289.44
Proposed,310.68
Proposed,317.88
Proposed,332.4
Proposed,286.68
Proposed,309.0
Proposed,292.68
Proposed,280.56
Proposed,323.4
Proposed,285.12
Proposed,342.48
Proposed,292.56
Proposed,303.96
Proposed,318.72
Proposed,330.6
Proposed,313.68
Proposed,285.84
Proposed,294.36
Proposed,302.28
Proposed,281.64
Proposed,327.84
Proposed,305.64
Proposed,303.24
Proposed,293.4
Proposed,287.28
Proposed,318.36
Proposed,304.08
Proposed,288.6
Proposed,255.6
Proposed,298.56
Proposed,336.0
Proposed,336.12
Proposed,336.36
Proposed,318.36
Proposed,304.68
Proposed,340.92
Proposed,332.04
Proposed,302.52
Proposed,316.2
Proposed,338.28
Proposed,345.36
Proposed,318.24
Proposed,335.04
Proposed,357.6
Proposed,328.68
Proposed,336.48
Proposed,356.04
Proposed,342.36
Proposed,328.92
Proposed,347.64
Proposed,320.76
Proposed,305.64
Proposed,322.44
Proposed,319.8
Proposed,330.96
Proposed,290.52
Proposed,342.24
Proposed,328.92
Proposed,342.12
Proposed,340.08
Proposed,312.12
Proposed,344.04
Proposed,322.44
Proposed,346.68
Proposed,294.96
Proposed,303.36
Proposed,336.48
Proposed,315.12
Proposed,327.48
Proposed,276.24
Proposed,319.2
Proposed,320.28
Proposed,310.08
Proposed,334.68
Proposed,302.4
Proposed,296.16
Proposed,319.92
Proposed,347.88
Proposed,282.6
Proposed,353.04
Proposed,322.08
Proposed,346.8
Proposed,341.04
Proposed,342.12
Proposed,292.68
Proposed,332.16
Proposed,325.32
Proposed,338.04
Proposed,344.16
Proposed,325.2
Proposed,314.76
Proposed,310.92
Proposed,325.32
Proposed,312.24
Proposed,324.84
Proposed,339.12
Proposed,298.44
Proposed,346.8
Proposed,353.76
Proposed,342.0
Proposed,299.88
Proposed,337.44
Proposed,318.6
Proposed,306.0
Proposed,264.72
Proposed,312.48
Proposed,315.24
Proposed,330.6
Proposed,358.08
Proposed,314.52
Proposed,338.64
Proposed,337.2
Proposed,351.24
Proposed,313.2
Proposed,309.48
Proposed,332.52
Proposed,342.84
Proposed,322.92
Proposed,322.08
Proposed,325.08
Proposed,308.04
Proposed,367.68
Proposed,335.52
Proposed,306.6
Proposed,333.84
Proposed,334.2
Proposed,320.52
Proposed,314.04
Proposed,317.88
Proposed,272.16
Proposed,332.76
Proposed,301.32
Proposed,326.28
Proposed,298.68
Proposed,293.28
Proposed,281.64
Proposed,282.48
Proposed,270.0
Proposed,302.76
Proposed,309.72
Proposed,291.12
Proposed,315.36
Proposed,264.84
Proposed,280.8
Proposed,315.36
Proposed,309.96
Proposed,310.32
Proposed,275.52
Proposed,276.48
Proposed,319.8
Proposed,323.52
Proposed,272.52
Proposed,285.12
Proposed,325.2
Proposed,325.2
Proposed,309.48
Proposed,270.96
Proposed,308.88
Proposed,312.96
Proposed,286.32
Proposed,301.92
Proposed,302.28
Proposed,274.2
Proposed,314.28
Proposed,329.64
Proposed,301.2
Proposed,279.96
Proposed,295.08
Proposed,276.84
Proposed,319.44
Proposed,332.88
Proposed,310.92
Proposed,293.64
Proposed,296.76
Proposed,315.0
Proposed,262.92
Proposed,284.16
Proposed,320.16
Proposed,299.64
Proposed,284.64
Proposed,292.32
Proposed,269.28
Proposed,308.76
Proposed,308.16
Proposed,297.48
Proposed,271.56
Proposed,315.0
Proposed,322.44
Proposed,309.12
Proposed,303.12
Proposed,296.4
Proposed,305.16
Proposed,321.96
Proposed,306.48
Proposed,335.16
Proposed,295.44
Proposed,331.92
Proposed,300.96
Proposed,325.8
Proposed,274.44
Proposed,295.68
Proposed,308.28
Proposed,291.72
Proposed,289.56
Proposed,300.72
Proposed,293.88
Proposed,319.56
Proposed,331.32
Proposed,292.32
Proposed,300.72
Proposed,293.04
Proposed,306.48
Proposed,314.52
Proposed,308.4
Proposed,296.76
Proposed,294.96
Proposed,330.6
Proposed,315.72
Proposed,314.88
Proposed,272.16
Proposed,283.44
Proposed,336.6
Proposed,323.76
Proposed,279.24
Proposed,279.12
Proposed,343.8
Proposed,288.84
Proposed,305.04
Proposed,274.08
Proposed,278.76
Proposed,288.24
Proposed,320.76
Proposed,258.96
Proposed,301.32
Proposed,334.32
Proposed,307.68
Proposed,294.36
Proposed,303.12
Proposed,302.76
Proposed,320.04
Proposed,275.52
Proposed,299.64
Proposed,305.4
Proposed,302.04
Proposed,278.28
Proposed,304.32
Proposed,292.32
Proposed,322.44
Proposed,294.24
Proposed,289.32
Proposed,298.68
Proposed,295.32
Proposed,292.92
Proposed,290.52
Proposed,328.8
Proposed,311.64
Proposed,272.4
Proposed,321.96
Proposed,282.0
Proposed,301.32
Proposed,300.84
Proposed,293.76
Proposed,294.24
Proposed,262.08
Proposed,296.52
Proposed,302.28
Proposed,297.96
Proposed,301.8
Proposed,299.4
Proposed,296.4
Proposed,282.72
Proposed,277.32
Proposed,329.64
Proposed,308.4
Proposed,304.92
Proposed,318.96
Proposed,276.6
Proposed,301.8
Proposed,293.28
Proposed,323.04
Proposed,287.28
Proposed,297.24
Proposed,303.96
Proposed,300.48
Proposed,274.92
Proposed,300.0
Proposed,290.52
Proposed,296.16
Proposed,274.56
Proposed,303.48
Proposed,318.12
Proposed,251.88
Proposed,288.48
Proposed,312.0
Proposed,332.16
Proposed,279.96
Proposed,299.28
Proposed,326.16
Proposed,305.64
Proposed,289.68
Proposed,288.48
Proposed,296.52
Proposed,305.88
Proposed,276.36
Proposed,291.72
Proposed,292.32
Proposed,300.12
Proposed,276.24
Proposed,294.6
Proposed,305.88
Proposed,295.44
Proposed,252.96
Proposed,291.0
Proposed,289.44
Proposed,306.72
Proposed,276.84
Proposed,296.16
Proposed,289.32
Proposed,299.52
Proposed,287.64
Proposed,312.36
Proposed,286.68
Proposed,315.84
Proposed,318.72
Proposed,266.88
Proposed,318.12
Proposed,301.8
Proposed,289.68
Proposed,270.0
Proposed,269.64
Proposed,331.44
Proposed,319.8
Proposed,331.8
Proposed,293.04
Proposed,290.4
Proposed,311.88
Proposed,303.24
Proposed,321.24
Proposed,289.56
Proposed,325.44
Proposed,310.08
Proposed,331.8
Proposed,326.52
Proposed,298.08
Proposed,321.24
Proposed,294.96
Proposed,323.16
Proposed,312.24
Proposed,330.96
Proposed,332.52
Proposed,329.4
Proposed,337.32
Proposed,295.32
Proposed,330.6
Proposed,292.32
Proposed,337.32
Proposed,301.92
Proposed,336.36
Proposed,297.48
Proposed,304.08
Proposed,326.04
Proposed,324.0
Proposed,300.36
Proposed,349.8
Proposed,339.48
Proposed,301.32
Proposed,337.92
Proposed,321.72
Proposed,330.84
Proposed,325.32
Proposed,278.28
Proposed,333.48
Proposed,330.6
Proposed,338.16
Proposed,315.24
Proposed,349.44
Proposed,323.28
Proposed,339.12
Proposed,351.96
Proposed,300.84
Proposed,321.48
Proposed,290.64
Proposed,343.92
Proposed,292.68
Proposed,323.76
Proposed,347.88
Proposed,290.04
Proposed,323.88
Proposed,335.52
Proposed,309.84
Proposed,328.56
Proposed,315.48
Proposed,304.8
Proposed,325.08
Proposed,322.8
Proposed,320.64
Proposed,345.72
Proposed,319.08
Proposed,310.92
Proposed,320.52
Proposed,301.56
Proposed,323.4
Proposed,321.24
Proposed,314.16
Proposed,309.84
Proposed,347.88
Proposed,324.36
Proposed,317.64
Proposed,300.0
Proposed,326.52
Proposed,353.52
Proposed,315.48
Proposed,330.0
Proposed,339.72
Proposed,307.44
Proposed,295.44
Proposed,329.16
Proposed,314.64
Proposed,326.64
Proposed,333.72
Proposed,342.36
Proposed,318.12
Proposed,315.6
Proposed,322.08
Proposed,346.2
Proposed,329.16
Proposed,290.04
Proposed,312.48
Proposed,316.2
Proposed,304.08
Proposed,316.68
Proposed,288.48
Proposed,308.76
Proposed,298.32
Proposed,314.76
Proposed,305.76
Proposed,299.4
Proposed,318.24
Proposed,327.96
Proposed,300.72
Proposed,298.08
Proposed,288.12
Proposed,278.28
Proposed,291.0
Proposed,286.8
Proposed,310.56
Proposed,306.24
Proposed,337.44
Proposed,296.16
Proposed,318.24
Proposed,300.24
Proposed,307.8
Proposed,329.52
Proposed,304.2
Proposed,321.96
Proposed,316.2
Proposed,307.92
Proposed,321.36
Proposed,305.16
Proposed,311.64
Proposed,313.2
Proposed,326.04
Proposed,318.96
Proposed,318.96
Proposed,326.64
Proposed,317.28
Proposed,305.64
Proposed,290.64
Proposed,303.36
Proposed,269.52
Proposed,306.36
Proposed,276.48
Proposed,284.52
Proposed,291.72
Proposed,309.48
Proposed,303.96
Proposed,319.56
Proposed,296.52
Proposed,294.96
Proposed,298.32
Proposed,304.08
Proposed,320.76
Proposed,341.76
Proposed,325.2
Proposed,282.0
Proposed,297.0
Proposed,304.44
Proposed,302.28
Proposed,321.12
Proposed,307.08
Proposed,319.32
Proposed,312.24
Proposed,318.84
Proposed,277.8
Proposed,309.96
Proposed,315.84
Proposed,299.64
Proposed,304.92
Proposed,308.52
Proposed,296.76
Proposed,281.28
Proposed,296.04
Proposed,344.52
Proposed,310.2
Proposed,285.12
Proposed,308.52
Proposed,300.24
Proposed,302.28
Proposed,291.96
Proposed,327.6
Proposed,310.8
Proposed,301.68
Proposed,329.4
Proposed,295.08
Proposed,319.56
Proposed,283.44
Proposed,289.2
Proposed,306.6
Proposed,311.52
Proposed,293.04
Proposed,316.44
Proposed,299.76
Proposed,307.2
Proposed,285.84
Proposed,291.96
Proposed,307.32
Proposed,283.92
Proposed,320.04
Proposed,295.56
MADRL,191.76
MADRL,247.56
MADRL,240.0
MADRL,238.56
MADRL,234.0
MADRL,231.12
MADRL,227.28
MADRL,258.72
MADRL,194.16
MADRL,232.44
MADRL,261.12
MADRL,242.28
MADRL,245.76
MADRL,249.0
MADRL,245.52
MADRL,239.04
MADRL,233.28
MADRL,246.0
MADRL,255.12
MADRL,245.16
MADRL,236.16
MADRL,233.88
MADRL,213.48
MADRL,195.84
MADRL,229.2
MADRL,255.24
MADRL,229.92
MADRL,263.52
MADRL,234.0
MADRL,254.4
MADRL,282.72
MADRL,221.76
MADRL,250.92
MADRL,261.36
MADRL,210.84
MADRL,222.36
MADRL,270.48
MADRL,243.84
MADRL,214.8
MADRL,220.92
MADRL,236.88
MADRL,275.04
MADRL,267.12
MADRL,241.56
MADRL,245.76
MADRL,220.08
MADRL,217.8
MADRL,224.64
MADRL,218.52
MADRL,251.04
MADRL,259.32
MADRL,231.6
MADRL,235.44
MADRL,258.72
MADRL,226.92
MADRL,233.4
MADRL,229.32
MADRL,232.8
MADRL,251.16
MADRL,246.24
MADRL,231.6
MADRL,257.04
MADRL,270.48
MADRL,232.68
MADRL,274.32
MADRL,263.16
MADRL,218.64
MADRL,250.32
MADRL,243.48
MADRL,211.92
MADRL,243.12
MADRL,249.96
MADRL,241.92
MADRL,228.96
MADRL,248.88
MADRL,232.8
MADRL,265.8
MADRL,221.52
MADRL,249.72
MADRL,223.8
MADRL,210.6
MADRL,222.36
MADRL,251.4
MADRL,264.24
MADRL,266.04
MADRL,241.2
MADRL,246.96
MADRL,263.76
MADRL,192.36
MADRL,236.16
MADRL,258.0
MADRL,257.4
MADRL,223.32
MADRL,224.64
MADRL,262.92
MADRL,254.64
MADRL,240.0
MADRL,237.84
MADRL,225.48
MADRL,221.04
MADRL,192.12
MADRL,275.52
MADRL,252.24
MADRL,250.92
MADRL,290.04
MADRL,230.52
MADRL,241.2
MADRL,293.4
MADRL,249.36
MADRL,238.8
MADRL,272.88
MADRL,245.52
MADRL,247.32
MADRL,255.0
MADRL,240.24
MADRL,259.08
MADRL,296.04
MADRL,253.68
MADRL,277.8
MADRL,242.16
MADRL,245.16
MADRL,265.32
MADRL,242.76
MADRL,201.36
MADRL,235.8
MADRL,320.76
MADRL,265.92
MADRL,238.32
MADRL,236.4
MADRL,248.88
MADRL,269.64
MADRL,287.88
MADRL,234.48
MADRL,284.16
MADRL,292.8
MADRL,277.44
MADRL,228.96
MADRL,227.88
MADRL,283.08
MADRL,261.84
MADRL,226.44
MADRL,248.04
MADRL,248.76
MADRL,267.24
MADRL,266.88
MADRL,264.36
MADRL,251.88
MADRL,241.56
MADRL,237.24
MADRL,248.52
MADRL,282.36
MADRL,245.4
MADRL,235.92
MADRL,264.96
MADRL,281.4
MADRL,263.4
MADRL,264.24
MADRL,267.36
MADRL,240.72
MADRL,256.8
MADRL,284.88
MADRL,231.84
MADRL,248.16
MADRL,271.8
MADRL,262.8
MADRL,266.64
MADRL,262.08
MADRL,218.04
MADRL,250.8
MADRL,258.96
MADRL,280.08
MADRL,257.76
MADRL,260.52
MADRL,256.68
MADRL,243.24
MADRL,220.32
MADRL,234.84
MADRL,209.4
MADRL,267.48
MADRL,247.8
MADRL,271.92
MADRL,279.48
MADRL,244.32
MADRL,245.28
MADRL,283.08
MADRL,247.44
MADRL,238.92
MADRL,269.52
MADRL,245.64
MADRL,281.76
MADRL,244.08
MADRL,225.48
MADRL,257.16
MADRL,279.0
MADRL,259.8
MADRL,250.08
MADRL,273.12
MADRL,307.32
MADRL,264.6
MADRL,276.6
MADRL,267.48
MADRL,254.04
MADRL,251.76
MADRL,292.92
MADRL,297.48
MADRL,271.2
MADRL,261.36
MADRL,245.52
MADRL,278.52
MADRL,259.2
MADRL,251.4
MADRL,245.76
MADRL,280.92
MADRL,243.96
MADRL,260.4
MADRL,250.92
MADRL,263.28
MADRL,268.44
MADRL,266.52
MADRL,258.96
MADRL,271.8
MADRL,278.88
MADRL,229.08
MADRL,237.12
MADRL,256.2
MADRL,195.0
MADRL,256.08
MADRL,265.8
MADRL,269.28
MADRL,249.36
MADRL,269.04
MADRL,264.48
MADRL,243.36
MADRL,214.32
MADRL,258.24
MADRL,256.32
MADRL,297.0
MADRL,276.24
MADRL,263.88
MADRL,274.68
MADRL,260.4
MADRL,247.44
MADRL,262.8
MADRL,241.8
MADRL,239.52
MADRL,278.4
MADRL,277.68
MADRL,209.76
MADRL,248.28
MADRL,273.84
MADRL,235.08
MADRL,229.44
MADRL,266.88
MADRL,266.28
MADRL,270.48
MADRL,247.92
MADRL,261.12
MADRL,267.48
MADRL,266.16
MADRL,268.92
MADRL,281.52
MADRL,272.28
MADRL,224.88
MADRL,234.12
MADRL,270.12
