Scheme,Jitter_ms,Jitter_std,Switch_Rate,Switch_std
Proposed,46.151,6.923,4.81667,0.7225
MADRL,39.834,5.975,3.65683,0.54852
GRLR,41.303,6.195,5.03717,0.75557
STSD,35.882,5.382,1.02867,0.1543
DLBH,32.395,4.859,1.4045,0.21068
